0,39.25,0.43,22.75,0.43,33.75,1.30
250,39.25,0.43,23.00,0.00,33.00,0.00
500,39.25,0.43,23.25,0.43,33.00,0.00
750,39.50,0.50,23.00,0.71,33.00,0.00
1000,39.50,0.50,24.00,0.00,33.00,0.00
1250,39.25,0.43,24.00,0.00,33.00,0.00
1500,39.25,0.43,24.00,0.00,33.00,0.00
1750,39.00,0.00,23.75,0.43,33.00,0.00
2000,39.50,0.50,24.00,0.00,33.00,0.00
2250,39.50,0.50,23.00,0.00,33.00,0.00
2500,39.50,0.50,23.25,0.43,33.00,0.00
2750,39.50,0.50,23.50,0.50,32.75,0.43
3000,39.50,0.50,23.75,0.43,32.50,0.50
3250,39.67,0.47,23.75,0.43,33.00,0.00
3500,39.50,0.50,24.00,0.00,33.00,0.00
3750,39.50,0.50,23.25,0.43,33.00,0.00
4000,39.50,0.50,22.50,0.50,33.00,0.00
4250,39.50,0.50,22.00,0.71,33.00,0.00
4500,40.25,0.83,21.00,0.00,33.00,0.00
4750,40.50,0.50,18.67,1.70,33.00,0.00
